nome,modo de preparo,ingrediente 1,qntd ing 1,ingrediente 2,qntd ing 2,ingrediente 3,qntd ing 3,ingrediente 4,qntd ing 4,ingrediente 5,qntd ing 5,ingrediente 6,qntd ing 6,ingrediente 7,qntd ing 7,ingrediente 8,qntd ing 8,ingrediente 9,qntd ing 9,ingrediente 10,qntd ing 10,ingrediente 11,qntd ing 11
Arroz ao forno,"Coloque a manteiga, o arroz, o peito de peru, as azeitonas e o milho em um recipiente refratário retangular médio (20 x 30cm). Ferva três xícaras (chá) de água e dissolva o Caldo Maggi. Regue o conteúdo do refratário e misture. Cubra com papel de alumínio e leve ao forno médio-alto (200°C), preaquecido, por cerca de 25 minutos. Quando o arroz estiver seco, retire-o do forno, mexa e sirva a seguir, polvilhado com o queijo ralado. ",manteiga,2 colheres (sopa) , arroz ,1 xícara (chá) , peito de peru,200g, azeitonas,50g, milho,1 lata ,caldo de carne,1 tablete , queijo parmesão,3 colheres (sopa) ,,,,,,,,
Arroz maggi,"Escolha um arroz de boa qualidade, de grãos longos ou médios e com pouca quebra (tipos 1 ou 2). Lave-o em água corrente (até que esta saia transparente) e escorra-o bem, deixando-o secar no próprio escorredor. Em uma panela média aqueça o óleo. Junte o arroz e refogue muito bem até ficar seco e brilhante. Adicione duas xícaras (chá) de água fervente, o Caldo Maggi e misture bem. Assim que ferver, diminua o fogo, destampe parcialmente a panela e deixe cozinhar até secar a água do cozimento (até que se formem alguns “furinhos” na superfície). Desligue o fogo, tampe a panela por cerca de 10 minutos para que o arroz termine o cozimento em seu próprio vapor. Sirva",arroz,1 xícara (chá) de arroz,óleo,1 colher (sopa) de óleo,caldo de carne,1 tablete de Caldo Maggi® de Galinha,,,,,,,,,,,,,,,,
Tutu de feijão,"Em uma panela, aqueça o óleo, junte o feijão, o caldo de feijão e o Caldo de carne. amasse alguns grãos e deixe ferver. acrescente a farinha de mandioca aos poucos, até obter consistência de pirão mole. Sirva com linguiça, arroz e legumes cozidos. ",óleo,2 colheres (sopa) ,feijão,2 xícaras (chá),caldo de carne,1 tablete , farinha de mandioca,3 colheres (sopa) ,,,,,,,,,,,,,,
Omelete expressa,"Em uma tigela, bata bem os ovos com o leite, a cebolinha  e o Fondor Maggi e reserve. Em uma frigideira grande, derreta metade da manteiga. Despeje metade dos ovos batidos e abaixe o fogo. Deixe  a omelete dourar suavemente, levantando as bordas com uma espátula para que a parte líquida também doure. Quando estiver quase seca, dobre a omelete ao meio, retire da frigideira e coloque em um prato aquecido. Repita esta operação com os ovos restantes e sirva a seguir.
",ovos,5 ovos,leite,5 colheres (sopa),cebolinha,2 colheres (sopa),fondor,1/2 colher ,manteiga,1 colher ,,,,,,,,,,,,
Omelete de forno,"Em um tigela, bata ligeiramente os ovos e junte os ingredientes restantes. Coloque em um recipiente refratário redondo untado (25cm de diâmetro) e leve ao forno médio (180°C), preaquecido, por cerca de 30 minutos. Sirva quente ou fria.",ovos,4 ovos,atum,"1 lata de atum, escorrida",mussarela,100g de mussarela picada,legumes,"1 lata de seleta de legumes, escorrida",cebola,meia xícara (chá) de cebola picada,leite,meia xícara (chá) de leite,fondor,meia colher (sopa) de Fondor,farinha de trigo,1 colher (sopa) de farinha de trigo,fermento,1 colher (chá) de fermento em pó,salsa,4 colheres (sopa) de salsa picada,óleo para untar,a gosto
Baked potatoes ao requeijão,"Escove e lave bem as batatas. Embrulhe-as uma a uma em papel de alumínio. Coloque-as em uma assadeira e leve ao forno médio (180ºC), preaquecido, por cerca de 1 hora (ou até ficarem macias, ao espetar um garfo). Descubra parcialmente  a batata, fazendo um bercinho com o papel de alumínio.  Dê dois cortes profundos, formando uma cruz na batata; comprima as duas extremidades para abrir um buraco. Polvilhe sal e sirva recheado com o Requeijão, misturado com a  salsa e o queijo parmesão. ",batata,3 batatas,sal,a gosto,requeijão,1/2 copo,salsa,2 colheres (sopa) ,quejo parmessão,1 colher (sopa) ,,,,,,,,,,,,
Purê de batata,"Descasque as batatas e cozinhe-as em água fervente até que estejam macias. Escorra-as e passe-as pelo espremedor enquanto estiverem quentes. Coloque a batata espremida em uma panela, junte a manteiga e o leite bem quente e bata vigorosamente com uma 
colher, até deixar a mistura bem lisa e cremosa. Tempere com o Fondor Maggi e continue mexendo em fogo baixo por mais 5 minutos.",batata,1/2 kg,manteiga,2 colheres (sopa) ,leite,meia xícara (chá) ,fondor,1/2 colher,,,,,,,,,,,,,,
Macarrão à fiorentina,"Coloque o espinafre lavado em uma panela de fundo largo tampada e, em fogo brando, deixe-o cozinhar em seu próprio suco. Quando estiver macio, retire-o do fogo, esprema, pique bem e reserve. Leve ao fogo uma panela com dois litros e meio de água, sal e azeite. assim que a água ferver, junte o macarrão, mexendo de vez em quando por cerca de 10 minutos ou até ficar “al dente”. Enquanto isso, derreta a manteiga em outra panela, junte o espinafre reservado e os queijos. Tempere com o sal e a pimenta-do-reino. Misture bem e despeje o Creme de Leite, mexendo sempre, sem deixar ferver. Escorra o macarrão, passe-o para uma travessa e adicione o creme de espinafre. Polvilhe o queijo parmesão e sirva a seguir. ",espinafre,1/2 maço,macarrão,250 g,sal,1/2 colher (sopa),azeite,1 fio,manteiga,1 colher (sopa),quejo parmessão,1/2 xícara (chá),queijo prato,1/2 xícara (chá),sal,a gosto,pimenta,a gosto,,,,
Macarrão ao alho e óleo,"Leve ao fogo uma panela com dois litros e meio de água e o sal. assim que ferver, junte o macarrão, mexendo de vez em quando com um garfo, e cozinhe até ficar “al dente”. Enquanto isso, aqueça o azeite em uma frigideira e doure  o alho. Escorra o macarrão, passe-o para uma travessa  e misture o azeite temperado, o Fondor Maggi e a salsa.  Polvilhe o queijo parmesão e sirva a seguir. ",macarrão,250 g,sal,1/2 colher (sopa),azeite,4 colheres (sopa),alho,2 dentes,fondor,1/2 colher (sopa),salsa,1 colher (sopa) ,parmessão,1 colher (sopa) ,,,,,,,,
Frango com laranja,"Misture bem com um garfo o Caldo Maggi com a manteiga, até obter uma pasta. Besunte o frango com esta pasta. asse em forno médio-alto (200ºC), preaquecido, por cerca de 40 minutos (ou até dourar ligeiramente). Regue com o suco de laranja e leve novamente ao forno até dourar bem (por cerca de 20 minutos). Retire do forno, passe o frango para uma travessa e conserve em local aquecido. Leve a assadeira ao fogo forte e deixe o restante do molho ferver bem, raspando com uma colher o fundo da assadeira até que o molho encorpe. Salpique a salsa picada sobre o frango e sirva com o molho, à parte.
",caldo de galinha,1 tablete,manteiga,1 colher (sopa),peito de frango,1/2 kg,suco de laranja,1/2 xícara (chá),salsa,1 colher (sopa),,,,,,,,,,,,
Frango ensopado,"Retire a pele, lave os pedaços de frango e regue com o suco de limão. No azeite quente, junte a cenoura, os tabletes de Caldo Maggi e meia xícara (chá) de água e mexa bem para dissolvêlos. Polvilhe a farinha de trigo, aos poucos, e acrescente uma xícara (chá) de água, sempre mexendo até dissolver a farinha. Tampe a panela e cozinhe até que o frango esteja macio. adicione a vagem,  a cebola, o alho-poró e deixe cozinhar por cerca de 10 minutos. Quando os legumes estiverem macios, retire do fogo, misture a salsa e sirva a seguir. ",frango,1/2 kg,suco de limão,1/2,azeite,1 colher (sopa),cenoura,1,caldo de galinha,1 tablete,farinha de trigo,1 colher (sopa) ,vagem,1/2 xícara (chá),cebola,1,alho poró,1/2 pedaço,salsa,1 colher (sopa) ,,
Bife de marinheiro,"Coloque uma colher (sopa) de azeite em uma panela de fundo largo. Distribua uma camada de bifes, uma de tomate, uma de cebola e uma de batata. Dissolva o Caldo Maggi em meia xícara (chá) de água fervente. Acrescente o vinho e misture bem. Espalhe metade deste líquido sobre as camadas da panela. Regue com um pouco do azeite restante. Repita mais uma vez as camadas, junte o resto do líquido e torne a regar com o azeite. Tampe a panela e leve ao fogo baixo por aproximadamente 40 minutos. Sirva.",azeite,2 colheres (sopa) de azeite,bife de coxão mole,"4 bifes de coxão mole, pequenos",tomate,2 tomates em rodelas,cebola,1 cebola em rodelas,batata,"2 batatas grandes, em rodelas",caldo de carne,1 tablete de Caldo de carne,vinho branco seco,meio copo de vinho branco seco,,,,,,,,
Bife grelhado,"Preaqueça uma grelha ou frigideira em fogo alto. Pincele os bifes com azeite, tempere-os com o alho e o gril Maggi. Toste os filés de um lado, e quando estiver dourado, vire-os para grelhar do outro lado. ",bife de coxão mole,4,azeite,a gosto,alho,3 dentes,caldo de carne,1/2 colher (sopa),,,,,,,,,,,,,,
Creme de Maracujá,"Coloque no liquidificador o Leite moça, o suco de maracujá e o Creme de Leite. Bata até ficar cremoso. Coloque em taças, decore e leve à geladeira até o momento de servir. ",leite condensado,1 lata,suco de maracujá,1 lata proporcional ao leite condensado,creme de leite,1 lata,,,,,,,,,,,,,,,,
Mousse de chocolate,"Aqueça o Creme de Leite em banhomaria. Junte o Chocolate e mexa até que fique completamente dissolvido. Reserve. Em uma batedeira, bata as claras em neve firme. Adicione, aos poucos, o açúcar. Misture levemente ao creme de Chocolate. Coloque em taças e leve à geladeira por cerca de 3 horas. Decore com raspas de chocolate.",creme de leite,1 lata,chocolate,1 tablete,chocolate meio amargo,200 g,clara,3,açucar,3 colheres (sopa),chocolate,raspas,,,,,,,,,,
Creme de morango e suspiros,"Lave, limpe e esmague ligeiramente os morangos com garfo (reservando alguns para decorar). Junte  o açúcar, o conhaque e o Creme de Leite e misture bem. Quebre alguns suspiros e misture-os ao creme de morangos. Coloque em taças individuais ou em um recipiente refratário e decore com os morangos reservados intercalados de suspiro. Sirva gelado. ",morango,1/2,açucar,4 colheres (sopa),conhaque,1 colher (sopa),creme de leite,1/2 lata,suspiro,2 xícaras (chá) ,,,,,,,,,,,,